text,clean_text,created_at,date,hour,month,day_of_week,user_location,country,hashtags,sentiment,compound_score,retweet_count,like_count
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #Gaza #Palestine,ceasefire needed now in gaza children are dying #ceasefirenow #gaza #palestine,2023-02-17 02:36:19.089544,2023-02-17,2,2023-02,Friday,Palestine,Palestine,"#ceasefirenow, #gaza, #palestine",Neutral,0.0,77,131
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #Ukraine #UkraineWar,prayers for the people of ukraine this war must end #standwithukraine #ukraine #ukraine #ukrainewar,2023-02-17 06:59:14.977488,2023-02-17,6,2023-02,Friday,Netherlands,Other,"#standwithukraine, #ukraine, #ukraine, #ukrainewar",Negative,-0.6833,30,239
Russian people are not responsible for Putin's decisions. #PeaceNotWar #RussiaUkraine,russian people are not responsible for putins decisions #peacenotwar #russiaukraine,2023-02-17 11:22:10.865432,2023-02-17,11,2023-02,Friday,Israel,Israel,"#peacenotwar, #russiaukraine",Negative,-0.2411,67,300
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #UkraineWar,zelenskys speech was powerful and moving ukraine will not fall #ukraine #ukrainewar,2023-02-17 15:45:06.753376,2023-02-17,15,2023-02,Friday,Canada,Other,"#ukraine, #ukrainewar",Positive,0.4215,164,155
More weapons needed for Ukraine to defend itself. #UkraineSupport #NATO,more weapons needed for ukraine to defend itself #ukrainesupport #nato,2023-02-17 20:08:02.641320,2023-02-17,20,2023-02,Friday,France,France,"#ukrainesupport, #nato",Negative,-0.4927,5,33
Russian propaganda is everywhere online. Stay critical. #InfoWar #StandWithUkraine #UkraineWar,russian propaganda is everywhere online stay critical #infowar #standwithukraine #ukrainewar,2023-02-18 00:30:58.529264,2023-02-18,0,2023-02,Saturday,Netherlands,Other,"#infowar, #standwithukraine, #ukrainewar",Negative,-0.5106,67,5
Media coverage of the war has been intense this week. #UN #Conflict,media coverage of the war has been intense this week #un #conflict,2023-02-18 04:53:54.417208,2023-02-18,4,2023-02,Saturday,Palestine,Palestine,"#un, #conflict",Negative,-0.7096,225,118
Russia has legitimate security concerns. NATO expansion threatens peace. #Russia #Russia #RussiaUkraine,russia has legitimate security concerns nato expansion threatens peace #russia #russia #russiaukraine,2023-02-18 09:16:50.305152,2023-02-18,9,2023-02,Saturday,Netherlands,Other,"#russia, #russia, #russiaukraine",Positive,0.5106,96,88
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #StandWithUkraine,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #standwithukraine,2023-02-18 13:39:46.193096,2023-02-18,13,2023-02,Saturday,Palestine,Palestine,"#ukraine, #standwithukraine",Negative,-0.6249,55,212
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #IsraelHamasWar #Israel,praying for peace in gaza too many innocent lives lost #gaza #palestine #israelhamaswar #israel,2023-02-18 18:02:42.081040,2023-02-18,18,2023-02,Saturday,Palestine,Palestine,"#gaza, #palestine, #israelhamaswar, #israel",Positive,0.7269,20,21
NATO should do more to support Ukraine. Stop the war now! #NATO #Ukraine #Zelensky,nato should do more to support ukraine stop the war now #nato #ukraine #zelensky,2023-02-18 22:25:37.968984,2023-02-18,22,2023-02,Saturday,Poland,Poland,"#nato, #ukraine, #zelensky",Negative,-0.5289,7,32
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #CeasefireNow #Israel,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #ceasefirenow #israel,2023-02-19 02:48:33.856928,2023-02-19,2,2023-02,Sunday,United States,USA,"#gazaunderattack, #ceasefirenow, #israel",Negative,-0.802,15,62
Israel has the right to defend itself against Hamas attacks. #Israel #Israel,israel has the right to defend itself against hamas attacks #israel #israel,2023-02-19 07:11:29.744872,2023-02-19,7,2023-02,Sunday,Turkey,Turkey,"#israel, #israel",Negative,-0.4404,177,48
Supporting Ukraine but not blindly. Need peace negotiations now. #Russia #PeaceNotWar #RussiaUkraine,supporting ukraine but not blindly need peace negotiations now #russia #peacenotwar #russiaukraine,2023-02-19 11:34:25.632816,2023-02-19,11,2023-02,Sunday,,Other,"#russia, #peacenotwar, #russiaukraine",Negative,-0.4263,36,0
Russian propaganda is everywhere online. Stay critical. #InfoWar #NATO,russian propaganda is everywhere online stay critical #infowar #nato,2023-02-19 15:57:21.520760,2023-02-19,15,2023-02,Sunday,,Other,"#infowar, #nato",Negative,-0.5106,12,60
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #StandWithUkraine,zelenskys speech was powerful and moving ukraine will not fall #ukraine #standwithukraine,2023-02-19 20:20:17.408704,2023-02-19,20,2023-02,Sunday,Poland,Poland,"#ukraine, #standwithukraine",Positive,0.4215,42,3
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #Hamas,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #hamas,2023-02-20 00:43:13.296648,2023-02-20,0,2023-02,Monday,Israel,Israel,"#gazaunderattack, #hamas",Negative,-0.802,119,150
Praying for peace in Gaza. Too many innocent lives lost. #Gaza #Palestine #CeasefireNow,praying for peace in gaza too many innocent lives lost #gaza #palestine #ceasefirenow,2023-02-20 05:06:09.184592,2023-02-20,5,2023-02,Monday,Netherlands,Other,"#gaza, #palestine, #ceasefirenow",Positive,0.7269,2,35
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #StopRussia #SlavaUkraini,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #stoprussia #slavaukraini,2023-02-20 09:29:05.072536,2023-02-20,9,2023-02,Monday,France,France,"#ukraine, #stoprussia, #slavaukraini",Negative,-0.6249,23,15
Sanctions on Russia will hurt ordinary people most. Not fair. #Putin,sanctions on russia will hurt ordinary people most not fair #putin,2023-02-20 13:52:00.960480,2023-02-20,13,2023-02,Monday,Italy,Other,#putin,Negative,-0.6849,69,63
Both Israelis and Palestinians deserve peace and security. #MiddleEast #Israel #GazaUnderAttack,both israelis and palestinians deserve peace and security #middleeast #israel #gazaunderattack,2023-02-20 18:14:56.848424,2023-02-20,18,2023-02,Monday,Palestine,Palestine,"#middleeast, #israel, #gazaunderattack",Positive,0.7096,47,248
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #Israel #IsraelHamasWar,ceasefire needed now in gaza children are dying #ceasefirenow #israel #israelhamaswar,2023-02-20 22:37:52.736368,2023-02-20,22,2023-02,Monday,United Kingdom,UK,"#ceasefirenow, #israel, #israelhamaswar",Neutral,0.0,0,65
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #SlavaUkraini,prayers for the people of ukraine this war must end #standwithukraine #ukraine #slavaukraini,2023-02-21 03:00:48.624312,2023-02-21,3,2023-02,Tuesday,Russia,Russia,"#standwithukraine, #ukraine, #slavaukraini",Negative,-0.6833,93,141
Russian people are not responsible for Putin's decisions. #PeaceNotWar #Sanctions,russian people are not responsible for putins decisions #peacenotwar #sanctions,2023-02-21 07:23:44.512256,2023-02-21,7,2023-02,Tuesday,Australia,Australia,"#peacenotwar, #sanctions",Negative,-0.2411,80,207
Aid must reach Gaza immediately. People are starving. #GazaAid #Hamas,aid must reach gaza immediately people are starving #gazaaid #hamas,2023-02-21 11:46:40.400200,2023-02-21,11,2023-02,Tuesday,France,France,"#gazaaid, #hamas",Negative,-0.4019,24,89
Russia's economy under massive pressure from sanctions. #RussiaUkraine #RussiaUkraine,russias economy under massive pressure from sanctions #russiaukraine #russiaukraine,2023-02-21 16:09:36.288144,2023-02-21,16,2023-02,Tuesday,Italy,Other,"#russiaukraine, #russiaukraine",Negative,-0.296,8,3
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #CeasefireNow,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #ceasefirenow,2023-02-21 20:32:32.176088,2023-02-21,20,2023-02,Tuesday,Ukraine,Ukraine,"#gazaunderattack, #ceasefirenow",Negative,-0.802,37,221
Russian military performance worse than expected. #Ukraine #Russia #Putin,russian military performance worse than expected #ukraine #russia #putin,2023-02-22 00:55:28.064032,2023-02-22,0,2023-02,Wednesday,Ukraine,Ukraine,"#ukraine, #russia, #putin",Negative,-0.4767,12,455
Sanctions on Russia will hurt ordinary people most. Not fair. #PeaceNotWar #Russia,sanctions on russia will hurt ordinary people most not fair #peacenotwar #russia,2023-02-22 05:18:23.951975,2023-02-22,5,2023-02,Wednesday,Turkey,Turkey,"#peacenotwar, #russia",Negative,-0.6849,25,45
NATO should do more to support Ukraine. Stop the war now! #NATO #Ukraine #SlavaUkraini #NATO,nato should do more to support ukraine stop the war now #nato #ukraine #slavaukraini #nato,2023-02-22 09:41:19.839919,2023-02-22,9,2023-02,Wednesday,Ukraine,Ukraine,"#nato, #ukraine, #slavaukraini, #nato",Negative,-0.5289,32,70
Historical context of the conflict is important to understand. #War,historical context of the conflict is important to understand #war,2023-02-22 14:04:15.727863,2023-02-22,14,2023-02,Wednesday,,Other,#war,Negative,-0.6597,24,49
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Putin,russias economy under massive pressure from sanctions #russiaukraine #putin,2023-02-22 18:27:11.615807,2023-02-22,18,2023-02,Wednesday,Germany,Germany,"#russiaukraine, #putin",Negative,-0.296,18,36
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #StandWithUkraine,prayers for the people of ukraine this war must end #standwithukraine #ukraine #standwithukraine,2023-02-22 22:50:07.503751,2023-02-22,22,2023-02,Wednesday,France,France,"#standwithukraine, #ukraine, #standwithukraine",Negative,-0.6833,21,104
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #NATO,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #nato,2023-02-23 03:13:03.391695,2023-02-23,3,2023-02,Thursday,,Other,"#slavaukraini, #nato",Positive,0.7827,66,42
Russian propaganda is everywhere online. Stay critical. #InfoWar #StandWithUkraine #Zelensky,russian propaganda is everywhere online stay critical #infowar #standwithukraine #zelensky,2023-02-23 07:35:59.279639,2023-02-23,7,2023-02,Thursday,Ukraine,Ukraine,"#infowar, #standwithukraine, #zelensky",Negative,-0.5106,39,31
Peace talks collapsed again. Ceasefire seems distant. #UN #HumanitarianCrisis,peace talks collapsed again ceasefire seems distant #un #humanitariancrisis,2023-02-23 11:58:55.167583,2023-02-23,11,2023-02,Thursday,Australia,Australia,"#un, #humanitariancrisis",Positive,0.34,1,164
Russia's economy under massive pressure from sanctions. #RussiaUkraine #PeaceNotWar,russias economy under massive pressure from sanctions #russiaukraine #peacenotwar,2023-02-23 16:21:51.055527,2023-02-23,16,2023-02,Thursday,Australia,Australia,"#russiaukraine, #peacenotwar",Negative,-0.296,174,357
Sanctions on Russia will hurt ordinary people most. Not fair. #Putin #Russia,sanctions on russia will hurt ordinary people most not fair #putin #russia,2023-02-23 20:44:46.943471,2023-02-23,20,2023-02,Thursday,United States,USA,"#putin, #russia",Negative,-0.6849,41,69
Aid must reach Gaza immediately. People are starving. #GazaAid #CeasefireNow,aid must reach gaza immediately people are starving #gazaaid #ceasefirenow,2023-02-24 01:07:42.831415,2023-02-24,1,2023-02,Friday,Italy,Other,"#gazaaid, #ceasefirenow",Negative,-0.4019,72,102
Historical context of the conflict is important to understand. #War #Conflict,historical context of the conflict is important to understand #war #conflict,2023-02-24 05:30:38.719359,2023-02-24,5,2023-02,Friday,,Other,"#war, #conflict",Negative,-0.7717,17,32
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #Ukraine,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #ukraine,2023-02-24 09:53:34.607303,2023-02-24,9,2023-02,Friday,India,India,"#slavaukraini, #ukraine",Positive,0.7827,102,89
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #CeasefireNow #GazaUnderAttack,ceasefire needed now in gaza children are dying #ceasefirenow #ceasefirenow #gazaunderattack,2023-02-24 14:16:30.495247,2023-02-24,14,2023-02,Friday,Italy,Other,"#ceasefirenow, #ceasefirenow, #gazaunderattack",Neutral,0.0,233,26
Media coverage of the war has been intense this week. #War,media coverage of the war has been intense this week #war,2023-02-24 18:39:26.383191,2023-02-24,18,2023-02,Friday,United States,USA,#war,Negative,-0.8176,3,0
Historical context of the conflict is important to understand. #HumanitarianCrisis,historical context of the conflict is important to understand #humanitariancrisis,2023-02-24 23:02:22.271135,2023-02-24,23,2023-02,Friday,Israel,Israel,#humanitariancrisis,Negative,-0.128,25,154
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #Ukraine #StandWithUkraine,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #ukraine #standwithukraine,2023-02-25 03:25:18.159079,2023-02-25,3,2023-02,Saturday,Canada,Other,"#ukraine, #ukraine, #standwithukraine",Negative,-0.6249,147,9
Global oil prices rising due to geopolitical tensions. #HumanitarianCrisis #Conflict,global oil prices rising due to geopolitical tensions #humanitariancrisis #conflict,2023-02-25 07:48:14.047023,2023-02-25,7,2023-02,Saturday,United Kingdom,UK,"#humanitariancrisis, #conflict",Negative,-0.6124,79,147
Russian forces advancing near Kharkiv. The world watches in horror. #UkraineWar #Ukraine #Zelensky,russian forces advancing near kharkiv the world watches in horror #ukrainewar #ukraine #zelensky,2023-02-25 12:11:09.934967,2023-02-25,12,2023-02,Saturday,Netherlands,Other,"#ukrainewar, #ukraine, #zelensky",Negative,-0.5719,8,37
More weapons needed for Ukraine to defend itself. #UkraineSupport #SlavaUkraini,more weapons needed for ukraine to defend itself #ukrainesupport #slavaukraini,2023-02-25 16:34:05.822911,2023-02-25,16,2023-02,Saturday,Canada,Other,"#ukrainesupport, #slavaukraini",Negative,-0.4927,46,53
International community must act to stop the bloodshed. #Palestine #IsraelHamasWar,international community must act to stop the bloodshed #palestine #israelhamaswar,2023-02-25 20:57:01.710855,2023-02-25,20,2023-02,Saturday,Netherlands,Other,"#palestine, #israelhamaswar",Negative,-0.296,31,32
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #Ukraine #StandWithUkraine,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #ukraine #standwithukraine,2023-02-26 01:19:57.598799,2023-02-26,1,2023-02,Sunday,Australia,Australia,"#stoprussia, #ukraine, #standwithukraine",Negative,-0.7717,34,40
Russian forces advancing near Kharkiv. The world watches in horror. #UkraineWar #StandWithUkraine,russian forces advancing near kharkiv the world watches in horror #ukrainewar #standwithukraine,2023-02-26 05:42:53.486743,2023-02-26,5,2023-02,Sunday,,Other,"#ukrainewar, #standwithukraine",Negative,-0.5719,35,5
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #SlavaUkraini,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #slavaukraini,2023-02-26 10:05:49.374687,2023-02-26,10,2023-02,Sunday,India,India,"#stoprussia, #slavaukraini",Negative,-0.7717,87,16
Western media bias against Russia is obvious. Two sides to every story. #Putin #Russia,western media bias against russia is obvious two sides to every story #putin #russia,2023-02-26 14:28:45.262631,2023-02-26,14,2023-02,Sunday,Canada,Other,"#putin, #russia",Negative,-0.1027,27,56
UN Security Council meeting today on the ongoing conflict. #HumanitarianCrisis,un security council meeting today on the ongoing conflict #humanitariancrisis,2023-02-26 18:51:41.150575,2023-02-26,18,2023-02,Sunday,United States,USA,#humanitariancrisis,Neutral,0.0258,133,223
Israel's response is disproportionate. Too many civilian casualties. #Gaza #GazaUnderAttack,israels response is disproportionate too many civilian casualties #gaza #gazaunderattack,2023-02-26 23:14:37.038519,2023-02-26,23,2023-02,Sunday,Australia,Australia,"#gaza, #gazaunderattack",Neutral,0.0,6,135
Historical context of the conflict is important to understand. #Peace,historical context of the conflict is important to understand #peace,2023-02-27 03:37:32.926463,2023-02-27,3,2023-02,Monday,Ukraine,Ukraine,#peace,Positive,0.4588,2,53
Historical context of the conflict is important to understand. #Conflict,historical context of the conflict is important to understand #conflict,2023-02-27 08:00:28.814407,2023-02-27,8,2023-02,Monday,Australia,Australia,#conflict,Negative,-0.4215,0,235
NATO should do more to support Ukraine. Stop the war now! #NATO #Ukraine #SlavaUkraini,nato should do more to support ukraine stop the war now #nato #ukraine #slavaukraini,2023-02-27 12:23:24.702351,2023-02-27,12,2023-02,Monday,United States,USA,"#nato, #ukraine, #slavaukraini",Negative,-0.5289,79,168
Zelensky's speech was powerful and moving. Ukraine will not fall. #Ukraine #Ukraine #NATO,zelenskys speech was powerful and moving ukraine will not fall #ukraine #ukraine #nato,2023-02-27 16:46:20.590295,2023-02-27,16,2023-02,Monday,Australia,Australia,"#ukraine, #ukraine, #nato",Positive,0.4215,25,149
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #StandWithUkraine,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #standwithukraine,2023-02-27 21:09:16.478239,2023-02-27,21,2023-02,Monday,Turkey,Turkey,"#ukraine, #standwithukraine",Negative,-0.6249,39,12
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #CeasefireNow #Palestine,ceasefire needed now in gaza children are dying #ceasefirenow #ceasefirenow #palestine,2023-02-28 01:32:12.366183,2023-02-28,1,2023-02,Tuesday,Germany,Germany,"#ceasefirenow, #ceasefirenow, #palestine",Neutral,0.0,33,62
Russian military performance worse than expected. #Ukraine #Russia #Sanctions #RussiaUkraine,russian military performance worse than expected #ukraine #russia #sanctions #russiaukraine,2023-02-28 05:55:08.254127,2023-02-28,5,2023-02,Tuesday,Russia,Russia,"#ukraine, #russia, #sanctions, #russiaukraine",Negative,-0.4767,71,72
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #StopRussia #Ukraine,prayers for the people of ukraine this war must end #standwithukraine #ukraine #stoprussia #ukraine,2023-02-28 10:18:04.142071,2023-02-28,10,2023-02,Tuesday,Turkey,Turkey,"#standwithukraine, #ukraine, #stoprussia, #ukraine",Negative,-0.6833,73,197
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #UkraineWar,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #ukrainewar,2023-02-28 14:41:00.030015,2023-02-28,14,2023-02,Tuesday,Australia,Australia,"#stoprussia, #ukrainewar",Negative,-0.7717,0,42
Israel's response is disproportionate. Too many civilian casualties. #Gaza #CeasefireNow #Gaza,israels response is disproportionate too many civilian casualties #gaza #ceasefirenow #gaza,2023-02-28 19:03:55.917958,2023-02-28,19,2023-02,Tuesday,United States,USA,"#gaza, #ceasefirenow, #gaza",Neutral,0.0,46,41
Civilian casualties in Mariupol rising. This is a humanitarian crisis. #Ukraine #UkraineWar #Zelensky,civilian casualties in mariupol rising this is a humanitarian crisis #ukraine #ukrainewar #zelensky,2023-02-28 23:26:51.805902,2023-02-28,23,2023-02,Tuesday,Canada,Other,"#ukraine, #ukrainewar, #zelensky",Negative,-0.6249,68,77
Refugees fleeing Ukraine into Poland and Romania. Heartbreaking scenes. #NATO #Zelensky,refugees fleeing ukraine into poland and romania heartbreaking scenes #nato #zelensky,2023-03-01 03:49:47.693846,2023-03-01,3,2023-03,Wednesday,Palestine,Palestine,"#nato, #zelensky",Negative,-0.4588,11,155
Aid must reach Gaza immediately. People are starving. #GazaAid #GazaUnderAttack #Hamas,aid must reach gaza immediately people are starving #gazaaid #gazaunderattack #hamas,2023-03-01 08:12:43.581790,2023-03-01,8,2023-03,Wednesday,Canada,Other,"#gazaaid, #gazaunderattack, #hamas",Negative,-0.4019,83,121
Russia has legitimate security concerns. NATO expansion threatens peace. #Russia #Russia,russia has legitimate security concerns nato expansion threatens peace #russia #russia,2023-03-01 12:35:39.469734,2023-03-01,12,2023-03,Wednesday,Italy,Other,"#russia, #russia",Positive,0.5106,3,140
Israel has the right to defend itself against Hamas attacks. #Israel #GazaUnderAttack,israel has the right to defend itself against hamas attacks #israel #gazaunderattack,2023-03-01 16:58:35.357678,2023-03-01,16,2023-03,Wednesday,Russia,Russia,"#israel, #gazaunderattack",Negative,-0.4404,37,33
Russia's economy under massive pressure from sanctions. #RussiaUkraine #Russia #Putin,russias economy under massive pressure from sanctions #russiaukraine #russia #putin,2023-03-01 21:21:31.245622,2023-03-01,21,2023-03,Wednesday,Netherlands,Other,"#russiaukraine, #russia, #putin",Negative,-0.296,39,68
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #StandWithUkraine,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #standwithukraine,2023-03-02 01:44:27.133566,2023-03-02,1,2023-03,Thursday,,Other,"#stoprussia, #standwithukraine",Negative,-0.7717,264,89
Russian military performance worse than expected. #Ukraine #Russia #Russia,russian military performance worse than expected #ukraine #russia #russia,2023-03-02 06:07:23.021510,2023-03-02,6,2023-03,Thursday,Australia,Australia,"#ukraine, #russia, #russia",Negative,-0.4767,15,68
Propaganda from both sides. Hard to know the truth about #UkraineWar #Russia #Putin,propaganda from both sides hard to know the truth about #ukrainewar #russia #putin,2023-03-02 10:30:18.909454,2023-03-02,10,2023-03,Thursday,Australia,Australia,"#ukrainewar, #russia, #putin",Neutral,-0.0258,78,286
Peace talks collapsed again. Ceasefire seems distant. #Peace #UN,peace talks collapsed again ceasefire seems distant #peace #un,2023-03-02 14:53:14.797398,2023-03-02,14,2023-03,Thursday,Canada,Other,"#peace, #un",Positive,0.7096,96,177
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #NATO,prayers for the people of ukraine this war must end #standwithukraine #ukraine #nato,2023-03-02 19:16:10.685342,2023-03-02,19,2023-03,Thursday,Australia,Australia,"#standwithukraine, #ukraine, #nato",Negative,-0.6833,0,1
The truth about Donbas is more complex than media shows. #RussiaUkraine #Sanctions,the truth about donbas is more complex than media shows #russiaukraine #sanctions,2023-03-02 23:39:06.573286,2023-03-02,23,2023-03,Thursday,Israel,Israel,"#russiaukraine, #sanctions",Positive,0.3182,94,156
NATO should do more to support Ukraine. Stop the war now! #NATO #Ukraine #StandWithUkraine,nato should do more to support ukraine stop the war now #nato #ukraine #standwithukraine,2023-03-03 04:02:02.461230,2023-03-03,4,2023-03,Friday,Turkey,Turkey,"#nato, #ukraine, #standwithukraine",Negative,-0.5289,115,20
International diplomacy efforts ongoing. Summit scheduled for next week. #War,international diplomacy efforts ongoing summit scheduled for next week #war,2023-03-03 08:24:58.349174,2023-03-03,8,2023-03,Friday,Poland,Poland,#war,Negative,-0.5994,23,59
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #GazaUnderAttack,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #gazaunderattack,2023-03-03 12:47:54.237118,2023-03-03,12,2023-03,Friday,Canada,Other,"#gazaunderattack, #gazaunderattack",Negative,-0.802,14,99
Sanctions on Russia will hurt ordinary people most. Not fair. #Sanctions,sanctions on russia will hurt ordinary people most not fair #sanctions,2023-03-03 17:10:50.125062,2023-03-03,17,2023-03,Friday,Canada,Other,#sanctions,Negative,-0.6849,183,3
Aid must reach Gaza immediately. People are starving. #GazaAid #Hamas,aid must reach gaza immediately people are starving #gazaaid #hamas,2023-03-03 21:33:46.013006,2023-03-03,21,2023-03,Friday,Canada,Other,"#gazaaid, #hamas",Negative,-0.4019,12,67
We stand with the Israeli people after the October 7 attacks. #Israel #IsraelHamasWar,we stand with the israeli people after the october attacks #israel #israelhamaswar,2023-03-04 01:56:41.900950,2023-03-04,1,2023-03,Saturday,Canada,Other,"#israel, #israelhamaswar",Negative,-0.4404,21,269
Media coverage of the war has been intense this week. #Peace,media coverage of the war has been intense this week #peace,2023-03-04 06:19:37.788894,2023-03-04,6,2023-03,Saturday,Italy,Other,#peace,Neutral,-0.0258,39,27
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #StopRussia #SlavaUkraini,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #stoprussia #slavaukraini,2023-03-04 10:42:33.676838,2023-03-04,10,2023-03,Saturday,France,France,"#slavaukraini, #stoprussia, #slavaukraini",Positive,0.7827,17,253
Supporting Ukraine but not blindly. Need peace negotiations now. #Russia #Putin,supporting ukraine but not blindly need peace negotiations now #russia #putin,2023-03-04 15:05:29.564782,2023-03-04,15,2023-03,Saturday,Turkey,Turkey,"#russia, #putin",Negative,-0.4263,87,86
Russia's economy under massive pressure from sanctions. #RussiaUkraine #RussiaUkraine #PeaceNotWar,russias economy under massive pressure from sanctions #russiaukraine #russiaukraine #peacenotwar,2023-03-04 19:28:25.452726,2023-03-04,19,2023-03,Saturday,Palestine,Palestine,"#russiaukraine, #russiaukraine, #peacenotwar",Negative,-0.296,0,64
Russia's economy under massive pressure from sanctions. #RussiaUkraine #PeaceNotWar,russias economy under massive pressure from sanctions #russiaukraine #peacenotwar,2023-03-04 23:51:21.340670,2023-03-04,23,2023-03,Saturday,Russia,Russia,"#russiaukraine, #peacenotwar",Negative,-0.296,0,69
International community must act to stop the bloodshed. #Palestine #CeasefireNow,international community must act to stop the bloodshed #palestine #ceasefirenow,2023-03-05 04:14:17.228614,2023-03-05,4,2023-03,Sunday,France,France,"#palestine, #ceasefirenow",Negative,-0.296,67,226
Western media bias against Russia is obvious. Two sides to every story. #RussiaUkraine #Sanctions,western media bias against russia is obvious two sides to every story #russiaukraine #sanctions,2023-03-05 08:37:13.116558,2023-03-05,8,2023-03,Sunday,Netherlands,Other,"#russiaukraine, #sanctions",Negative,-0.1027,6,49
Aid organizations providing relief in conflict zones. #Conflict,aid organizations providing relief in conflict zones #conflict,2023-03-05 13:00:09.004502,2023-03-05,13,2023-03,Sunday,,Other,#conflict,Negative,-0.128,23,64
Israel has the right to defend itself against Hamas attacks. #Israel #CeasefireNow,israel has the right to defend itself against hamas attacks #israel #ceasefirenow,2023-03-05 17:23:04.892446,2023-03-05,17,2023-03,Sunday,,Other,"#israel, #ceasefirenow",Negative,-0.4404,46,42
Ceasefire needed NOW in Gaza. Children are dying. #CeasefireNow #Gaza,ceasefire needed now in gaza children are dying #ceasefirenow #gaza,2023-03-05 21:46:00.780390,2023-03-05,21,2023-03,Sunday,France,France,"#ceasefirenow, #gaza",Neutral,0.0,179,71
More weapons needed for Ukraine to defend itself. #UkraineSupport #UkraineWar,more weapons needed for ukraine to defend itself #ukrainesupport #ukrainewar,2023-03-06 02:08:56.668334,2023-03-06,2,2023-03,Monday,,Other,"#ukrainesupport, #ukrainewar",Negative,-0.4927,1,6
The destruction in Kyiv is heartbreaking. We stand with Ukraine #StopRussia #StandWithUkraine #NATO,the destruction in kyiv is heartbreaking we stand with ukraine #stoprussia #standwithukraine #nato,2023-03-06 06:31:52.556278,2023-03-06,6,2023-03,Monday,,Other,"#stoprussia, #standwithukraine, #nato",Negative,-0.7717,64,99
Following the latest news on the conflict situation worldwide. #Peace,following the latest news on the conflict situation worldwide #peace,2023-03-06 10:54:48.444222,2023-03-06,10,2023-03,Monday,France,France,#peace,Positive,0.296,24,3
We stand with the Israeli people after the October 7 attacks. #Israel #Hamas #CeasefireNow,we stand with the israeli people after the october attacks #israel #hamas #ceasefirenow,2023-03-06 15:17:44.332166,2023-03-06,15,2023-03,Monday,Russia,Russia,"#israel, #hamas, #ceasefirenow",Negative,-0.4404,39,409
Prayers for the people of Ukraine. This war must end. #StandWithUkraine #Ukraine #Zelensky,prayers for the people of ukraine this war must end #standwithukraine #ukraine #zelensky,2023-03-06 19:40:40.220110,2023-03-06,19,2023-03,Monday,Australia,Australia,"#standwithukraine, #ukraine, #zelensky",Negative,-0.6833,12,253
Hamas must release all hostages immediately. #IsraelHamasWar #CeasefireNow #GazaUnderAttack,hamas must release all hostages immediately #israelhamaswar #ceasefirenow #gazaunderattack,2023-03-07 00:03:36.108054,2023-03-07,0,2023-03,Tuesday,Poland,Poland,"#israelhamaswar, #ceasefirenow, #gazaunderattack",Neutral,0.0,18,328
